id	name	type	category	address	lat	lng	tel	faculty	open_campus_2025	website	contact_person	contact_date	relation_stage	support_items	notes
SP012	広島YMCA専門学校	専門学校	私立	広島市中区八丁堀7-11	34.3964	132.4621	082-223-1292	ホスピタリティ科/言語コミュニケーション学科		https://www.hymca.jp			0		
SP013	マインド.ビューティーカレッジ	専門学校	私立	広島市中区大手町3-8-3	34.3867	132.4542	082-542-1231	美容師科		https://mind.ac.jp			0		
SP014	広島Law&Business専門学校	専門学校	私立	広島市中区中島町5-7	34.3894	132.4496	082-247-3700	公務員受験科/法務ビジネス科/経営ビジネス科/カフェビジネス科		https://www.furusawa.com/keiei/			0		
SP015	広島舟入商業高等専修学校	専門学校	私立	広島市中区舟入中町8-12	34.3872	132.443	082-231-1600	商業デザインコース/経理コース		https://www.funasho.ed.jp			0		
SP016	広島県理容美容専門学校	専門学校	私立	広島市中区国泰寺町2-8-12	34.3848	132.4559	082-243-8872	理容科/美容科		https://www.ken-ribi.ac.jp			0		
SP017	トリニティカレッジ広島	専門学校	私立	広島市中区上幟町8-18	34.3969	132.4695	082-223-1164	介護福祉学科/こども保育学科/臨床工学科		https://hiroshima.trinity.ac.jp			0		
SP018	広島美容専門学校	専門学校	私立	広島市中区千田町3-8	34.3749	132.4592	082-240-1185	美容科/トータルビューティ科		https://www.biyo.ac.jp			0		
SP019	広島ビューティー＆ブライダル	専門学校	私立	広島市東区光町2丁目	34.3992	132.4715	082-568-6821	美容科/ヘアメイク科/トータルビューティー科/ブライダルプロデュース科		https://www.sanko.ac.jp/hiroshima-beauty/			0		
SP020	広島リゾート＆スポーツ	専門学校	私立	広島市東区光町2丁目	34.3992	132.4715	082-568-6735	スポーツトレーナー科/スポーツウェルネス科/スポーツビジネス科		https://www.sanko.ac.jp/hiroshima-sports/			0		
SP021	代々木アニメーション広島校	専門学校	私立	広島市中区胡町4-28	34.3929	132.4657	082-504-9110	アニメ・イラスト・マンガ総合科/声優タレント科/アニメーター科		https://www.yoani.co.jp/school/hiroshima/			0		
SP022	大原ビジネス公務員専門学校	専門学校	私立	広島市中区東平塚町3-30	34.3886	132.4678	082-249-8000	公務員科/警察・消防官科/公認会計士・税理士科/ビジネス科/医療事務科		https://www.o-hara.ac.jp/senmon/school/hiroshima/			0		
SP023	広島情報ITクリエイター	専門学校	私立	広島市中区東平塚町3-30	34.3886	132.4678	082-249-8000	システム開発コース/ゲーム制作コース/CG・映像制作コース/Webグラフィックデザインコース		https://www.o-hara.ac.jp/senmon/school/hiroshima_it/			0		
SP025	MSH医療専門学校	専門学校	私立	広島市西区天満町6-5	34.3963	132.4383	082-503-0003	柔道整復師・スポーツトレーナー学科/こども学科		https://msh.ac.jp			0		
SP026	広島コンピュータ専門学校	専門学校	私立	広島市西区横川新町7-12	34.407755	132.447605	082-291-5050	システムエンジニアコース/ネットワークセキュリティコース/ゲームクリエーターコース/CGクリエーターコース		https://hsc.ac.jp			0		
SP027	広島情報ビジネス専門学校	専門学校	私立	広島市西区横川町2-10-4	34.408001	132.450668	082-293-5000	医療秘書コース/ブライダルコーディネーターコース/ペットビジネスコース/情報ビジネスコース		https://hjb.ac.jp			0		
SP028	穴吹デザイン専門学校	専門学校	私立	広島市南区松川町2-24	34.390433	132.470823	082-263-7177	インテリアデザイン学科/建築学科/商品企画デザイン学科/グラフィックデザイン学科/マンガ・アニメーション学科/CG・ゲーム学科/ネット動画クリエイター学科		https://web.anabukih.ac.jp/			0		
J001	広島文化学園短期大学	短期大学	私立	安芸郡坂町平成ヶ浜3-3-20	34.3399	132.5076	082-814-3191	幼児教育学科/保育学科	5月24日/6月21日/7月26日	https://www.hcu.ac.jp/jc			1		
J002	広島女学院大学短期大学部	短期大学	私立	広島市東区牛田東4-13-1	34.413	132.4837	082-228-0386	日本語日本文学科	7月12日/8月2日	https://www.hju.ac.jp			0		
J003	山陽女子短期大学	短期大学	私立	広島市佐伯区五日市中央4-17-1	34.3626	132.3424	082-874-1300	保育学科/食物栄養学科	6月7日/7月5日/8月2日	https://www.sanyo-women.ac.jp			2	WEB広告	
J004	比治山大学短期大学部	短期大学	私立	広島市東区牛田新町4-1-1	34.4172	132.4746	082-229-0121	保育学科	5月31日/7月5日	https://www.hijiyama-u.ac.jp/jc			0		
J005	鈴峯女子短期大学	短期大学	私立	広島市西区井口6-13-1	34.3691	132.3779	082-277-7302	保育学科/生活学科	6月21日/7月19日	https://www.suzugamine.ac.jp			1		
J006	廿日市看護専門学校	短期大学	国公立	廿日市市串戸5-1-1	34.3481	132.3381	0829-31-2055	看護学科	7月5日	https://www.hatsukaichi-ns.jp			0		
J007	呉看護専門学校	短期大学	国公立	呉市昭和町4-11	34.243	132.562	0823-25-3511	看護学科	7月5日	https://www.kure-ns.ac.jp			0		
